street_number,street_name,city,state,zip
30,SAMANA DR,Miami,FL,33133
55,SE 6TH ST,Miami,FL,33131
2625,SW 3RD AVE,Miami,FL,33129
1035,NW 11TH CT,Miami,FL,33136
524,NW 11TH ST,Miami,FL,33136
73,W FLAGLER ST,Miami,FL,33130
1608,NW 7TH AVE,Miami,FL,33136
1543,SW 7TH ST,Miami,FL,33135
239,SW 9TH ST,Miami,FL,33130
1200,BRICKELL AVE,Miami,FL,33131
1717,N BAYSHORE DR,Miami,FL,33132
1159,NW 1ST PL,Miami,FL,33136
1501,NW NORTH RIVER DR,Miami,FL,33125
150,SE 2ND AVE,Miami,FL,33131
1150,NW 8TH STREET RD,Miami,FL,33136
747,NW 13TH AVE,Miami,FL,33125
665,NW 14 ST,Miami,FL,33136
2104,GRAYSON WOODS CT,Plant City,FL,33563
1943,GREENWOOD VALLEY DR,Plant City,FL,33563
141,ALEXANDER WOODS DR,Plant City,FL,33563
1507,W REYNOLDS ST,Plant City,FL,33563
108,ALEXANDER WOODS DR,Plant City,FL,33563
1704,WALDEN VILLAGE CT,Plant City,FL,33566
2502,N WILDER RD,Plant City,FL,33565
414,N SHANNON ESTATES CT,Plant City,FL,33563
1505,S MCDONALD ST,Plant City,FL,33563
516,E GRAND AVE,Des Moines,IA,50309
2270,BELL AVE,Des Moines,IA,50321
119,COLUMBUS AVE,Des Moines,IA,50315
707,19TH ST,Des Moines,IA,50314
616,SE 10TH ST,Des Moines,IA,50309
511,28TH ST,Des Moines,IA,50312
110,SE 9TH ST,Des Moines,IA,50309
945,19TH ST,Des Moines,IA,50314
145,UNIVERSITY AVE,Des Moines,IA,50314
519,17TH ST,Des Moines,IA,50309
411,LAUREL ST,Des Moines,IA,50314
1203,MURPHY ST,Des Moines,IA,50309
130,5TH ST,West Des Moines,IA,50265
6571,UNIVERSITY AVE,Windsor Heights,IA,50324
324,7TH ST,West Des Moines,IA,50265
6009,CRESTON AVE,Des Moines,IA,50321
209,5TH ST,West Des Moines,IA,50265
1100,ASHWORTH RD,West Des Moines,IA,50265
326,HOLIDAY CIR,West Des Moines,IA,50265
728,SE CREEKVIEW DR,Ankeny,IA,50021
1136,NE 7TH LN,Ankeny,IA,50021
350,NW GEORGETOWN BLVD,Ankeny,IA,50023
1380,SW DISTRICT DR,Ankeny,IA,50023
1420,NW 23RD LN,Ankeny,IA,50023
1622,SE DELAWARE AVE,Ankeny,IA,50021
849,S ANKENY BLVD,Ankeny,IA,50023
340,SE DELAWARE AVE,Ankeny,IA,50021
116,SE LORENZ DR,Ankeny,IA,50021
206,NE DELAWARE AVE,Ankeny,IA,50021
1602,NW PRAIRIE LAKES DR,Ankeny,IA,50023
2410,SW WHITE BIRCH DR,Ankeny,IA,50023
209,E 1ST ST,Ankeny,IA,50021
405,SW 3RD ST,Ankeny,IA,50023
407,SE DELAWARE AVE,Ankeny,IA,50021
3155,N ANKENY BLVD,Ankeny,IA,50023
3327,NE RENAISSANCE DR,Ankeny,IA,50021
891,14TH ST,Denver,CO,80202
2261,BLAKE ST,Denver,CO,80205
1499,BLAKE ST,Denver,CO,80202
810,W 2ND AVE,Denver,CO,80223
2516,N WASHINGTON ST,Denver,CO,80205
2960,INCA ST,Denver,CO,80202
1400,16TH ST,Denver,CO,80202
65,BANNOCK ST,Denver,CO,80223
1109,W 13TH AVE,Denver,CO,80204
1112,E 4TH AVE,Denver,CO,80218
2524,CHAMPA ST,Denver,CO,80205
1012,E 4TH AVE,Denver,CO,80218
465,ELATI ST,Denver,CO,80204
1260,GLENARM PL,Denver,CO,80204
1745,BOULDER ST,Denver,CO,80211
2892,HURON ST,Denver,CO,80202
1940,BLAKE ST,Denver,CO,80202
975,N LINCOLN ST,Denver,CO,80203
1020,15TH ST,Denver,CO,80202
3446,IRIS CT,Boulder,CO,80304
2155,WALNUT ST,Boulder,CO,80302
3250,ONEAL CIR,Boulder,CO,80301
2041,COLUMBINE AVE,Boulder,CO,80302
2140,JORDAN PL,Boulder,CO,80304
1035,PEARL ST,Boulder,CO,80302
1150,OAKDALE PL,Boulder,CO,80304
2525,13TH ST,Boulder,CO,80304
1440,28TH ST,Boulder,CO,80303
1100,13TH ST,Boulder,CO,80302
3705,CANFIELD ST,Boulder,CO,80301
970,AURORA AVE,Boulder,CO,80302
2701,CANYON BLVD,Boulder,CO,80302
85,S 38TH ST,Boulder,CO,80305
2312,14TH ST,Boulder,CO,80304
800,28TH ST,Boulder,CO,80303
2635,JUNIPER AVE,Boulder,CO,80304
1233,CEDAR AVE,Boulder,CO,80304
910,JEFFERSON COUNTY PKWY,Golden,CO,80401
722,WASHINGTON AVE,Golden,CO,80401
518,PARKVIEW CT,Golden,CO,80403
860,JEFFERSON COUNTY PKWY,Golden,CO,80401
908,HOMESTAKE DR,Golden,CO,80401
826,CHEYENNE ST,Golden,CO,80401
21334,COWBOY WAY,Golden,CO,80403
325,JEFFERSON COUNTY PKWY,Golden,CO,80401
1006,HOMESTAKE DR,Golden,CO,80401
1025,HOMESTAKE DR,Golden,CO,80401
2500,JACKSON ST,Golden,CO,80401
1407,WASHINGTON AVE,Golden,CO,80401
510,ARAPAHOE ST,Golden,CO,80403
215,ADAMS ST,Brooklyn,NY,11201
327,CLINTON ST,Brooklyn,NY,11231
407,3RD AVE,New York,NY,10016
20,N MOORE ST,New York,NY,10013
196,PARK ROW,New York,NY,10038
279,WATER ST,New York,NY,10038
50,W 9TH ST,New York,NY,10011
43,E 10TH ST,New York,NY,10003
105,E 17TH ST,New York,NY,10003
247,HENRY ST,New York,NY,10002
504,GRAND ST,New York,NY,10002
509,AVENUE OF THE AMERICAS,New York,NY,10011
37,W 12TH ST,New York,NY,10011
122,ASHLAND PL,Brooklyn,NY,11201
218,BLOOMFIELD ST,Hoboken,NY,07030
200,CONGRESS ST,Brooklyn,NY,11201
175,ADAMS ST,Brooklyn,NY,11201
225,ADAMS ST,Brooklyn,NY,11201
175,COLUMBIA HTS,Brooklyn,NY,11201
24,CLINTON ST,Brooklyn,NY,11201
